text,label,action,context_features,session_id,turn_number,speaker,content,conversation_type,budget_type,user_profile,expected_action,confidence,metadata
"Context: [assistant]: Based on your software engineer background, I'd suggest... | [user]: I'm particularly interested in aspect | Turn 3, Budget: premium | Current: [assistant]: The challenge you're facing with data quality is common...",0,store,"[3.0, 58.0, 9.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0]",technical_deep_dive_7107,3,assistant,The challenge you're facing with data quality is common...,technical,premium,"{""expertise"": ""high"", ""domain"": ""engineering""}",store,0.7699793780415172,"{""template"": ""technical_deep_dive"", ""turn_ratio"": 0.3, ""content_length"": 58}"
"Context: [user]: That's very helpful | [assistant]: Let me provide some guidance on that. | Turn 12, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[12.0, 27.0, 4.0, 0.0, 0.9230769230769231, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_2696,12,user,Thanks for the explanation!,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6885608472519332,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.9230769230769231, ""content_length"": 27}"
"Context: [assistant]: That's an important consideration. | [user]: I appreciate your help | Turn 5, Budget: standard | Current: [assistant]: Let me provide some guidance on that.",0,store,"[5.0, 37.0, 7.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 0.0]",troubleshooting_session_6232,5,assistant,Let me provide some guidance on that.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.7067884390809951,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.8333333333333334, ""content_length"": 37}"
"Context: [assistant]: Let me provide some guidance on that. | [user]: I appreciate your help | Turn 5, Budget: standard | Current: [assistant]: I understand your situation.",0,store,"[5.0, 28.0, 4.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_8478,5,assistant,I understand your situation.,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6034831721511565,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.5, ""content_length"": 28}"
"Context: [user]: I appreciate your help | [assistant]: I understand your situation. | Turn 8, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[8.0, 27.0, 4.0, 0.0, 0.8888888888888888, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_3882,8,user,Thanks for the explanation!,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5959465025863336,"{""template"": ""educational_qa"", ""turn_ratio"": 0.8888888888888888, ""content_length"": 27}"
"Context: [user]: Thanks for the explanation! | [assistant]: I understand your situation. | Turn 6, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_8579,6,user,Thanks for the explanation!,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.6936915248231905,"{""template"": ""business_consultation"", ""turn_ratio"": 0.46153846153846156, ""content_length"": 27}"
"Context: [user]: Thanks for the explanation! | [assistant]: Let me provide some guidance on that. | Turn 6, Budget: standard | Current: [user]: That's very helpful",0,store,"[6.0, 19.0, 3.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_9201,6,user,That's very helpful,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.6857245496543652,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.6, ""content_length"": 19}"
"Context: [user]: Can you help me understand concept? | [assistant]: I understand your situation. | Turn 4, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[4.0, 27.0, 4.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_9938,4,user,Thanks for the explanation!,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.5051870391228271,"{""template"": ""educational_qa"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 27}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: I'm learning about subject and need help with concept",0,store,"[0.0, 53.0, 9.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",educational_qa_7589,0,user,I'm learning about subject and need help with concept,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6184929947761783,"{""template"": ""educational_qa"", ""turn_ratio"": 0.0, ""content_length"": 53}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: I read that fact but I don't understand aspect",0,store,"[0.0, 46.0, 9.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]",educational_qa_5129,0,user,I read that fact but I don't understand aspect,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.6065683533869118,"{""template"": ""educational_qa"", ""turn_ratio"": 0.0, ""content_length"": 46}"
"Context: [assistant]: That's an important consideration. | [user]: I appreciate your help | Turn 5, Budget: standard | Current: [assistant]: That's an important consideration.",0,store,"[5.0, 34.0, 4.0, 1.0, 0.8333333333333334, 0.5, 0.0, 0.0, 0.0, 1.0]",educational_qa_7341,5,assistant,That's an important consideration.,educational,standard,"{""expertise"": ""low"", ""domain"": ""learning""}",store,0.531185188449389,"{""template"": ""educational_qa"", ""turn_ratio"": 0.625, ""content_length"": 34}"
"Context: [user]: What would you recommend for situation? | [assistant]: Feel free to ask if you have more questions. | Turn 4, Budget: minimal | Current: [user]: Alright",2,drop,"[4.0, 7.0, 1.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_7455,4,user,Alright,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",drop,0.639085002220099,"{""template"": ""casual_chat"", ""turn_ratio"": 0.6666666666666666, ""content_length"": 7}"
"Context: [assistant]: Your interests in reading, travel align well with your profession. | [user]: That's very helpful | Turn 9, Budget: standard | Current: [assistant]: Working at StartupCo must be exciting.",0,store,"[9.0, 38.0, 6.0, 1.0, 0.9, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_3452,9,assistant,Working at StartupCo must be exciting.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7664312110065179,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.8181818181818182, ""content_length"": 38}"
"Context: Start of conversation | Turn 0, Budget: standard | Current: [user]: My background is in field with years years of experience",0,store,"[0.0, 56.0, 10.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0]",personal_information_sharing_3795,0,user,My background is in field with years years of experience,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.7666879505469114,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.0, ""content_length"": 56}"
"Context: [user]: I appreciate your help | [assistant]: Let me provide some guidance on that. | Turn 12, Budget: premium | Current: [user]: Thanks for the explanation!",0,store,"[12.0, 27.0, 4.0, 0.0, 0.9230769230769231, 1.0, 0.0, 0.0, 0.0, 1.0]",business_consultation_3470,12,user,Thanks for the explanation!,business,premium,"{""expertise"": ""high"", ""domain"": ""business""}",store,0.5323053742813599,"{""template"": ""business_consultation"", ""turn_ratio"": 0.7058823529411765, ""content_length"": 27}"
"Context: [assistant]: Your interests in travel, photography align well with your profession. | [user]: I appreciate your help | Turn 9, Budget: standard | Current: [assistant]: Your experience in entertainment sounds fascinating.",0,store,"[9.0, 52.0, 6.0, 1.0, 0.9, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_1053,9,assistant,Your experience in entertainment sounds fascinating.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8703069375544913,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.8181818181818182, ""content_length"": 52}"
"Context: [assistant]: Your interests in reading, startups align well with your profession. | [user]: I'm particularly interested in aspect | Turn 3, Budget: standard | Current: [assistant]: Nice to meet you! Tokyo is a great place for researchers.",0,store,"[3.0, 57.0, 11.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_6218,3,assistant,Nice to meet you! Tokyo is a great place for researchers.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8428755812447115,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.3, ""content_length"": 57}"
"Context: [user]: That's very helpful | [assistant]: Your experience in entertainment sounds fascinating. | Turn 6, Budget: standard | Current: [user]: Thanks for the explanation!",0,store,"[6.0, 27.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",personal_information_sharing_5813,6,user,Thanks for the explanation!,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.8958947946194278,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.8571428571428571, ""content_length"": 27}"
"Context: [user]: Thanks for the explanation! | [assistant]: I understand your situation. | Turn 6, Budget: standard | Current: [user]: I appreciate your help",0,store,"[6.0, 22.0, 4.0, 0.0, 0.8571428571428571, 0.5, 0.0, 0.0, 0.0, 1.0]",troubleshooting_session_5719,6,user,I appreciate your help,troubleshooting,standard,"{""expertise"": ""medium"", ""domain"": ""technical""}",store,0.624313338248306,"{""template"": ""troubleshooting_session"", ""turn_ratio"": 0.75, ""content_length"": 22}"
"Context: [user]: Perfect | Turn 1, Budget: minimal | Current: [assistant]: You're very welcome!",0,store,"[1.0, 20.0, 3.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 1.0]",casual_chat_5091,1,assistant,You're very welcome!,casual,minimal,"{""expertise"": ""low"", ""domain"": ""general""}",store,0.07855864540899932,"{""template"": ""casual_chat"", ""turn_ratio"": 0.2, ""content_length"": 20}"
"Context: [user]: I'm currently working on project at company | Turn 1, Budget: standard | Current: [assistant]: Nice to meet you! San Francisco is a great place for consultants.",0,store,"[1.0, 65.0, 12.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]",personal_information_sharing_4298,1,assistant,Nice to meet you! San Francisco is a great place for consultants.,personal,standard,"{""expertise"": ""medium"", ""domain"": ""general""}",store,0.78942484966067,"{""template"": ""personal_information_sharing"", ""turn_ratio"": 0.09090909090909091, ""content_length"": 65}"
